# prefix,country_code,region_code,city,postal
2a0e:b107:1900::/48,DE,DE-NW,Ense,59469
2a0e:b107:1901::/48,DE,DE-NW,Ense,59469
2a0c:b641:b0::/48,DE,DE-NW,Cologne,50733
